VS Name, VS IP address, Total Connections
VS_origin-console-p1_80,10.30.72.170:http,12440
VS_origin-console-p1_443,10.30.72.170:https,72045
VS_origin-reservations-p1_443,10.30.72.171:https,2127093
VS_rate360-preprod.travelclick.com,10.30.72.209:http,30521
VS_rate360-preprod.travelclick.com_443,10.30.72.209:https,9661
Vs_console-perf.travelclick.com_80,10.30.72.134:http,1522437
Vs_console-perf.travelclick.com_443,10.30.72.134:https,1602221
Vs_gms1.travelclick.com_80,10.30.72.163:http,2077
Vs_reservations-perf.travelclick.com_80,10.30.72.135:http,1613577
Vs_reservations-perf.travelclick.com_443,10.30.72.135:https,10784645
d1.rezqueue.com_http,10.30.72.204:http,1554767
d1.rezqueue.com_https,10.30.72.204:https,1542409
d1.tcgmes.net_http,10.30.72.200:http,2356222
d1.tcgmes.net_https,10.30.72.200:https,8713515
d1.zdirect.com_http,10.30.72.201:http,1547900
d1.zdirect.com_https,10.30.72.201:https,1467266
d1.zdirect.net_http,10.30.72.203:http,2337314
d1.zdirect.net_https,10.30.72.203:https,1771180
dev_htb_redirect_80,10.30.72.95:http,18587
dev_htb_redirect_443,10.30.72.95:https,1200
git-test-dc.travelclick.com_80,10.30.73.49:http,67
gm-d1.travelclick.com_htt,10.30.72.202:http,1796732
gm-d1.travelclick.com_https,10.30.72.202:https,5195823
gminbox-d1.travelclick.com,10.30.72.205:smtp,2617
gminterfaces-d1.travelclick.com,10.30.72.206:smtp,2288
gmmaintenance-d1.travelclick.com_81,10.30.72.208:81,834
gmmaintenance-d1.travelclick.com_444,10.30.72.208:snpp,8331
gmmaintenance-d1.travelclick.com_4443,10.30.72.208:pharos,8319
gmmaintenance-d1.travelclick.com_8443,10.30.72.208:pcsync-https,8319
gmmaintenance-d1.travelclick.com_http,10.30.72.208:http,702
gmmaintenance-d1.travelclick.com_https,10.30.72.208:https,8324
gmsftp-d1.travelclick.com,10.30.72.207:ssh,2230125
ht360-stage11g.travelclick.com-TEST_80,10.30.72.140:http,13751
pool_ota2-l1.ihotelier.com_80,10.30.73.59:http,4
ssltesting_vs_imanager-p1.ihotelier.com_443,10.30.73.103:https,9859
test-roomrez,10.30.72.174:https,0
test_vs_sd.travelclick.com_443,10.30.73.143:https,85
vs_36levels.travelclick.com_80,10.30.72.117:http,16807
vs_36levels.travelclick.com_443,10.30.72.117:https,17043
vs_LDC_callcenter15.ihotelier.com-443_TEST,10.30.75.50:https,35
vs_a360appl01-d1_80,10.30.72.138:http,1475628
vs_a360appl01-d1_443,10.30.72.138:https,1551128
vs_admin-p1.ihotelier.com_80,10.30.72.16:http,2320414
vs_admin-p1.ihotelier.com_443,10.30.72.16:https,1404413
vs_admin-perf.ihotelier.com_80,10.30.72.5:http,624
vs_admin-perf.ihotelier.com_443,10.30.72.5:https,820
vs_api-d1.tcgms.net_443,10.30.72.214:https,7417369
vs_api-dev.travelclick.com_80,10.30.72.182:http,11726
vs_api-dev.travelclick.com_443,10.30.72.182:https,926
vs_api-gain-cluster.travelclick.com,10.30.72.161:https,252923
vs_api-gain-internal-tx_80,10.30.72.218:http,60736
vs_api-gain-internal-tx_443,10.30.72.218:https,4452244
vs_api-ihos-l1.ihotelier.com_80,10.30.73.60:http,5
vs_api-ihos-l1.ihotelier.com_443,10.30.73.60:https,140
vs_api-ihos-p1.ihotelier.com_80,10.30.72.129:http,12848
vs_api-ihos-p1.ihotelier.com_443,10.30.72.129:https,10215
vs_api-ihos-perf.ihotelier.com_80,10.30.72.219:http,12294
vs_api-ihos-perf.ihotelier.com_443,10.30.72.219:https,1463
vs_api-staging-tls1.travelclick.com_443,10.30.73.39:https,4130
vs_api-test_443,10.30.72.190:https,1838
vs_appeng-test_80,10.30.72.116:http,2110
vs_aritracking.travelclick.com_80,10.30.72.165:http,12136
vs_aritracking.travelclick.com_443,10.30.72.165:https,1265
vs_beta-portal-l1.travelclick.com_80,10.30.72.234:http,13099
vs_beta-portal-l1.travelclick.com_443,10.30.72.234:https,25161
vs_beta-portal-p1.travelclick.com_80,10.30.72.233:http,13230
vs_beta-portal-p1.travelclick.com_443,10.30.72.233:https,89196
vs_bi-api-stage_80,10.30.72.237:http,15745
vs_bi-api-stage_443,10.30.72.237:https,3083330
vs_bi-middleware.travelclick.com_80,10.30.73.64:http,151230
vs_bi-middleware.travelclick.com_443,10.30.73.64:https,2004410
vs_bidiscovery.travelclick.com_80,10.30.72.101:http,1330
vs_bidiscovery.travelclick.com_443,10.30.72.101:https,1444
vs_bimatomo-stage.travelclick.com_80,10.30.72.253:http,661
vs_bimatomo-stage.travelclick.com_443,10.30.72.253:https,4256
vs_birsl00-d1_80,10.30.73.76:http,600
vs_booking-p1.ihotelier.com_80,10.30.72.22:http,1518532
vs_booking-p1.ihotelier.com_443,10.30.72.22:https,1460749
vs_booking-perf.ihotelier.com_80,10.30.72.4:http,11975
vs_booking-perf.ihotelier.com_443,10.30.72.4:https,795
vs_bookings-p1.ihotelier.com_80,10.30.72.20:http,1546038
vs_bookings-p1.ihotelier.com_443,10.30.72.20:https,1433763
vs_bookings-perf.ihotelier.com_80,10.30.72.9:http,1648491
vs_bookings-perf.ihotelier.com_443,10.30.72.9:https,1502870
vs_brandbar-p1.travelclick.com_80,10.30.72.109:http,1559886
vs_brandbar-p1.travelclick.com_443,10.30.72.109:https,9249088
vs_brandbar-perf.travelclick.com,10.30.72.215:https,3537522
vs_brandbar-perf.travelclick.com_80,10.30.72.215:http,1575601
vs_c2capi-p1.ihotelier.com_80,10.30.72.28:http,8164
vs_c2capi-p1.ihotelier.com_443,10.30.72.28:https,11409
vs_c2capi-perf.ihotelier.com_80,10.30.72.43:http,1530946
vs_c2capi-perf.ihotelier.com_443,10.30.72.43:https,1440424
vs_c2capi-t5.ihotelier.com_80,10.30.72.29:http,12031
vs_c2capi-t5.ihotelier.com_443,10.30.72.29:https,9345
vs_c2capi-t6.ihotelier.com_80,10.30.72.30:http,12001
vs_c2capi-t6.ihotelier.com_443,10.30.72.30:https,8929
vs_c2cconsole-p1.ihotelier.com_80,10.30.72.31:http,12266
vs_c2cconsole-p1.ihotelier.com_443,10.30.72.31:https,9633
vs_c2cconsole-perf.ihotelier.com_80,10.30.72.50:http,12186
vs_c2cconsole-perf.ihotelier.com_443,10.30.72.50:https,9767
vs_c2cconsole-t5.ihotelier.com_80,10.30.72.32:http,12078
vs_c2cconsole-t5.ihotelier.com_443,10.30.72.32:https,9308
vs_c2cconsole-t6.ihotelier.com_80,10.30.72.33:http,12003
