VS Name, VS IP address, Total Connections
LDC_vs_admin.ihotelier.com_80,10.30.12.188:http,0
LDC_vs_admin.ihotelier.com_443,10.30.12.188:https,0
LDC_vs_callcenter.ihotelier.com_80,10.30.12.187:http,1282057
LDC_vs_callcenter.ihotelier.com_443,10.30.12.187:https,2840403
LDC_vs_googlepull-api.travelclick.com_80,10.30.12.220:http,1343071
LDC_vs_googlepull-api.travelclick.com_443,10.30.12.220:https,1132511
LDC_vs_origin-reservations.travelclick.com_80,10.30.12.192:http,1416562
LDC_vs_origin-reservations.travelclick.com_443,10.30.12.192:https,1156043
LDC_vs_ota2-tls.ihotelier.com_443,10.30.12.196:https,1213510
LDC_vs_ota2.ihotelier.com_80,10.30.12.186:http,24673592
LDC_vs_ota2.ihotelier.com_443,10.30.12.186:https,13663178
adminbi.travelclick.com_80,10.30.12.73:http,1192444
adminbi.travelclick.com_443,10.30.12.73:https,1736703
airrates.travelclick.com_80,10.30.12.67:http,1232172
airrates.travelclick.com_443,10.30.12.67:https,1055803
blog.travelclick.com_80,10.30.12.110:http,3478405
blog.travelclick.com_443,10.30.12.110:https,2438956
carpricemanager.travelclick.com_443,10.30.12.70:https,1285920
carrates.travelclick.com_80,10.30.12.66:http,1190904
carrates.travelclick.com_443,10.30.12.66:https,1212448
confbridge_portal_80,10.30.12.104:http,4647317
enterprisereports.travelclick.com_80,10.30.12.86:http,1101972
enterprisereports.travelclick.com_443,10.30.12.86:https,1207628
hotelrates.travelclick.com_80,10.30.12.65:http,1229389
hotelrates.travelclick.com_443,10.30.12.65:https,1063850
ht360_saw_9710,10.30.8.27:9710,0
mta.rubicongroup.com_25,10.30.12.105:smtp,3253
pool_tccm-api_tls.ezyield.com,10.30.12.169:https,0
reports.rubicongroup.com_80,10.30.12.88:http,1280313
reports.rubicongroup.com_443,10.30.12.88:https,1148177
serio.travelclick.com_443,10.30.12.77:https,1234
sftp.rubicongroup.com_21,10.30.12.85:ftp,97107
sftp.rubicongroup.com_22,10.30.12.85:ssh,5031354
sftp.travelclick.com_21,10.30.12.75:ftp,49619533
sftp.travelclick.com_22,10.30.12.75:ssh,10022979
staging.travelclick.com_80,10.30.12.109:http,1135736
staging.travelclick.com_443,10.30.12.109:https,1102359
testbi.travelclick.com_80,10.30.12.76:http,1120982
testbi.travelclick.com_443,10.30.12.76:https,1994596
tfs.travelclick.com_443,10.30.12.46:https,299
vs_DR_emc.travelclick.net_80,10.30.13.5:http,0
vs_DR_emc.travelclick.net_443,10.30.13.5:https,0
vs_DR_insite.travelclick.net_80,10.30.13.6:http,0
vs_DR_insite.travelclick.net_443,10.30.13.6:https,0
vs_HTB_redirect_80,10.30.12.95:http,39606116
vs_HTB_redirect_443,10.30.12.95:https,82617210
vs_LDC_origin-portal.travelclick.com_80,10.30.12.191:http,1181913
vs_LDC_origin-portal.travelclick.com_443,10.30.12.191:https,28949590
vs_LDC_partner-portal.travelclick.com_80,10.30.12.190:http,3611619
vs_LDC_partner-portal.travelclick.com_443,10.30.12.190:https,16687412
vs__ideas_tls.ezyield.com_443,10.30.12.166:https,0
vs_admin-p1.ihotelier.com_80,10.30.13.16:http,0
vs_admin-p1.ihotelier.com_443,10.30.13.16:https,0
vs_adminv2.ezyield.com_80,10.30.8.122:http,1118388
vs_adminv2.ezyield.com_443,10.30.8.122:https,4408746
vs_adminv2_tls.ezyield.com_443,10.30.12.178:https,0
vs_api-gain.travelclick.com_80,10.30.12.102:http,1157001
vs_api-gain.travelclick.com_443,10.30.12.102:https,24194780
vs_api-ncsg.travelclick.com_80,10.30.12.200:http,1396
vs_api.ezyield.com_80,10.30.8.134:http,1223384358
vs_api.ezyield.com_443,10.30.8.134:https,1075178
vs_api.test.ezyield.com_80,10.30.8.102:http,0
vs_api.test.ezyield.com_443,10.30.8.102:https,24
vs_api_tls.ezyield.com_443,10.30.12.168:https,0
vs_artifactory-cm.travelclick.net_80,10.30.12.71:http,988
vs_atldc_r360-d1_80,10.30.8.24:http,0
vs_atldc_r360-psr1_80,10.30.8.20:http,0
vs_atldc_r360-t1_80,10.30.8.21:http,0
vs_beta-partner-portal.travelclick.com_80,10.30.12.172:http,1125709
vs_beta-partner-portal.travelclick.com_443,10.30.12.172:https,1194196
vs_beta-portal.travelclick.com_80,10.30.12.171:http,3482976
vs_beta-portal.travelclick.com_443,10.30.12.171:https,4599433
vs_bi-api-train-demo.travelclick.com_443,10.30.12.80:https,240707
vs_bi-api.travelclick.com_443,10.30.12.83:https,2765684
vs_bi-middleware.travelclick.com_443,10.30.12.85:https,2447433
vs_bi-ui.travelclick.com_80,10.30.12.231:http,0
vs_bi-ui.travelclick.com_443,10.30.12.231:https,0
vs_bidiscovery.travelclick.com_80,10.30.12.201:http,1124246
vs_bidmerge.travelclick.com_80,10.30.12.128:http,7779
vs_bidmerge.travelclick.com_443,10.30.12.128:https,10630
vs_blog.travelclick.com-temp_80,10.30.12.210:http,1156439
vs_blog.travelclick.com-temp_443,10.30.12.210:https,1102035
vs_c2capi-perf.ihotelier.com_80,10.30.13.40:http,0
vs_c2capi-perf.ihotelier.com_443,10.30.13.40:https,0
vs_callcenter15-p1.ihotelier.com_80,10.30.13.21:http,0
vs_callcenter15-p1.ihotelier.com_443,10.30.13.21:https,0
vs_callcenter-p1.ihotelier.com_80,10.30.13.18:http,0
vs_callcenter-p1.ihotelier.com_443,10.30.13.18:https,0
vs_carbontools.travelclick.com_80,10.30.12.92:http,1146875
vs_carbontools.travelclick.com_443,10.30.12.92:https,1081783
vs_carpricemanager-stage.travelclick.com_80,10.30.12.182:http,1251058
vs_carpricemanager-stage.travelclick.com_443,10.30.12.182:https,1103133
vs_channelmanagement.travelclick.com_80,10.30.12.140:http,1402119
vs_channelmanagement.travelclick.com_443,10.30.12.140:https,4132761
vs_channelmanagement_tls.travelclick.com_443,10.30.12.177:https,0
vs_channelsense.ezyield.com_80,10.30.8.129:http,1235987
vs_channelsense.ezyield.com_443,10.30.8.129:https,1216541
vs_channelsense_80,10.30.8.22:http,22
vs_cironl01.travelclick.com_80,10.30.12.215:http,41496
vs_cironl01.travelclick.com_443,10.30.12.215:https,23118
vs_cironl02.travelclick.com_80,10.30.12.203:http,35396
vs_cironl02.travelclick.com_443,10.30.12.203:https,50846
vs_clcl01-d1.gain_80,10.30.12.128:http,0
vs_clcl01-d1.gain_443,10.30.12.128:https,0
vs_cm-api-test.travelclick.com_80,10.30.12.53:http,7784
vs_cm-api-test.travelclick.com_443,10.30.12.53:https,298
vs_cm-api.travelclick.com_80,10.30.13.39:http,1153652
vs_cm-api.travelclick.com_443,10.30.13.39:https,2099804
vs_cm-api_tls.travelclick.com_443,10.30.12.175:https,1056161
vs_cm-ari-dist-in-otad.travelclick.com_80,10.30.12.198:http,445
vs_cm-ari-dist-in.travelclick.com_80,10.30.12.197:http,177
vs_cm-ari-distribution-shard-v2.travelclick.com,10.30.12.42:http,117955
vs_cm-ari-distribution-v2.travelclick.com,10.30.12.49:http,15261852
vs_cm-ari-distribution.travelclick.com,10.30.12.143:https,258206
vs_cm-ari-distribution.travelclick.com_80,10.30.12.143:http,7784
vs_cm-ari-distribution_tls.travelclick.com_443,10.30.12.176:https,0
vs_cm-ari-resolution-v2_80,10.30.12.173:http,12939806
vs_cm-ari-resolution-v2_443,10.30.12.173:https,1190
vs_cm-ari-resolution.travelclick.com_80,10.30.12.48:http,2483383
vs_cm_mail_outbound,10.30.12.118:smtp,125
vs_cmconfig-test.travelclick.com_80,10.30.12.50:http,700
vs_cmconfig.travelclick.com_80,10.30.12.54:http,38397611
vs_cmelastic.travelclick.com_80,10.30.8.45:http,34
vs_cmelastic.travelclick.com_443,10.30.8.45:https,15377907
vs_cmkbase.travelclick.com_80,10.30.13.35:http,147324
vs_cmkbase.travelclick.com_443,10.30.13.35:https,0
vs_cmkibana.travelclick.com_80,10.30.12.146:http,7844
vs_cmkibana.travelclick.com_443,10.30.12.146:https,27082
vs_cmmappings.travelclick.net_80,10.30.12.94:http,35760
vs_cmotaservices.travelclick.com_80,10.30.12.213:http,797
vs_cmprocessapi.travelclick.com_443,10.30.12.145:https,17647922
vs_cmprocessapi.travelclick_80,10.30.12.145:http,7784
vs_cmpullres.travelclick.com_80,10.30.12.141:http,1467339885
vs_cmpullres.travelclick.com_443,10.30.12.141:https,8146
vs_cmrezqueue.travelclick.com_80,10.30.12.43:http,181
vs_cmrezqueue.travelclick.com_443,10.30.12.43:https,298
vs_cmsdashboards.travelclick.net_80,10.30.12.47:http,172
