VS Name, VS IP address, Total Connections
new_vs_secure.trumpcasinos.com_80,10.80.12.124:http,2
new_vs_secure.trumpcasinos.com_443,10.80.12.124:https,0
vs_Bookings-T6_80,10.80.12.161:http,758075
vs_Bookings-T6_443,10.80.12.161:https,655429
vs_DR-htb-cluster1_80,10.80.12.65:http,0
vs_DR-htb-cluster1_443,10.80.12.65:https,0
vs_DR-htb-cluster2_80,10.80.12.66:http,0
vs_DR-htb-cluster2_443,10.80.12.66:https,0
vs_DR-htb-cluster3_80,10.80.12.67:http,0
vs_DR-htb-cluster3_443,10.80.12.67:https,0
vs_DUPLICATE_dockerhub-ilcb.travelclick.com_80,10.80.12.94:http,3909
vs_DUPLICATE_dockerhub-ilcb.travelclick.com_443,10.80.12.94:https,1496
vs_admin-scraper.ihotelier.com_80,10.80.12.86:http,515211
vs_admin-scraper.ihotelier.com_443,10.80.12.86:https,493300
vs_admin.ihotelier.com_80,10.80.12.52:http,1346485
vs_admin.ihotelier.com_443,10.80.12.52:https,2921989
vs_admin_tls.ihotelier.com_443,10.80.13.53:https,665052
vs_adminbeta-t5.ihotelier.com,10.80.12.160:https,2866249
vs_adminbeta-t5.ihotelier.com_80,10.80.12.160:http,2937280
vs_api-amadeus.travelclick.com_80,10.80.12.103:http,615160
vs_api-amadeus.travelclick.com_443,10.80.12.103:https,500194
vs_api-cd.ihotelier.com_80,10.80.12.215:http,0
vs_api-hotelstatic.ihotelier.com,10.80.12.244:https,528169
vs_api-ihos.ihotelier.com_80,10.80.12.221:http,18
vs_api-ihos.ihotelier.com_443,10.80.12.221:https,1954360
vs_api-ilcb-test.travelclick.com_443,10.80.12.228:https,10
vs_api-ilcb-tls1.travelclick.com_80,10.80.12.245:http,0
vs_api-ilcb-tls1.travelclick.com_443,10.80.12.245:https,27368
vs_api-ilcb.travelclick.com_80,10.80.12.102:http,805033
vs_api-ilcb.travelclick.com_443,10.80.12.102:https,350292767
vs_api-metrics.travelclick.com_80,10.80.12.85:http,246624663
vs_api-pmsc.travelclick.com_80,10.80.12.59:http,0
vs_api-pmsc.travelclick.com_443,10.80.12.59:https,287311
vs_api.tcgms.net_443,10.80.12.82:https,7228252
vs_bi-api-dr.travelclick.com_443,10.80.12.237:https,129024
vs_bi-middleware-demo.travelclick.com_443,10.80.12.232:https,101660
