VS Name, VS IP address, Total Connections
TEST_partner-portal.travelclick.com_443,10.80.73.102:https,0
VS_notifications-demo.travelclick.com_80,10.80.72.214:http,839927
VS_notifications-demo.travelclick.com_443,10.80.72.214:https,802257
Vs_ibe_api_avail-request-t5_80,10.80.72.162:http,129
Vs_ibe_api_hoteldesc-request-t5_80,10.80.72.163:http,131
Vs_ibe_api_reservations-request-t5_80,10.80.72.164:http,138
Vs_ibe_api_specialcodes-request-t5_80,10.80.72.165:http,36
Vs_ibe_console-api-jwt_request-t5_80,10.80.72.166:http,146
Vs_notifications-t5.travelclick.com_80,10.80.72.202:http,939332
Vs_notifications-t5.travelclick.com_443,10.80.72.202:https,1082355
Vs_notifications-t6.travelclick.com_80,10.80.72.201:http,1076785
Vs_notifications-t6.travelclick.com_443,10.80.72.201:https,858944
gm.travelclick.com_http,10.80.72.126:http,33
gm.travelclick.com_http_pre-rpod,10.80.72.143:http,918757
gm.travelclick.com_https,10.80.72.126:https,117
gm.travelclick.com_https_pre-prod,10.80.72.143:https,1464154
gminbox.travelclick.com,10.80.72.129:smtp,4
gminbox.travelclick.com_pre-prod,10.80.72.146:smtp,203752
gminterfaces.travelclick.com,10.80.72.130:smtp,6
gminterfaces.travelclick.com_pre-prod,10.80.72.147:smtp,181458
gmmaintenance.travelclick.com,10.80.72.133:http,36
gmmaintenance.travelclick.com_81,10.80.72.133:81,8
gmmaintenance.travelclick.com_81_pre-prod,10.80.72.150:81,9
gmmaintenance.travelclick.com_444,10.80.72.133:snpp,8
gmmaintenance.travelclick.com_444_pre-prod,10.80.72.150:snpp,9
gmmaintenance.travelclick.com_4443,10.80.72.133:pharos,0
gmmaintenance.travelclick.com_4443_pre-prod,10.80.72.150:pharos,0
gmmaintenance.travelclick.com_8443,10.80.72.133:pcsync-https,98
gmmaintenance.travelclick.com_8443_pre-prod,10.80.72.150:pcsync-https,180
gmmaintenance.travelclick.com_https,10.80.72.133:https,30
gmmaintenance.travelclick.com_https_pre-prod,10.80.72.150:https,38
gmmaintenance.travelclick.com_pre-prod,10.80.72.150:http,42
gmscprt.travelclick.com,10.80.72.132:smtp,6
gmscprt.travelclick.com_pre-prod,10.80.72.149:smtp,205930
gmsftp.travelclick.com,10.80.72.131:ssh,6
gmsftp.travelclick.com_pre-prod,10.80.72.148:ssh,8
origin-console-m1.travelclick.com_443,10.80.72.178:https,119
pool_corpaccmgmt-c1.travelclick.com,10.80.73.87:https,6552
