username, description, role, shell
ASasso,ASasso,admin,bash
NJokanovic,NJokanovic,manager,none
PKowalczyk,PKowalczyk,manager,none
SPhatak,SPhatak,manager,none
aadmulwar,aadmulwar,guest,none
abalan,abalan,admin,bash
abhalerao,abhalerao,admin,bash
aborge,aborge,operator,none
achasen,achasen,guest,none
achea,achea,admin,bash
admin,"Admin User",admin,bash
akozlovsky,akozlovsky,guest,none
akulkarni,akulkarni,admin,bash
akulkarni1,akulkarni1,admin,bash
aomanovic,aomanovic,admin,bash
ashapley,ashapley,admin,bash
awyatt,awyatt,guest,none
bfelts,bfelts,admin,bash
dkotale,dkotale,admin,bash
dsouza,dsouza,operator,none
earant,earant,guest,none
falleyne,falleyne,operator,none
gadams,gadams,guest,none
gjagadeesan,gjagadeesan,manager,none
gpande,gpande,operator,none
hionescu,hionescu,guest,none
iandev,iandev,admin,none
izikyamov,izikyamov,admin,bash
jboswell,jboswell,admin,bash
jjoseph,jjoseph,operator,none
jramos,jramos,admin,bash
jsharp,jsharp,admin,bash
kapatel,kapatel,guest,none
kkotkar,kkotkar,operator,none
ksoni,ksoni,operator,none
lmyint,lmyint,admin,bash
mdurso,mdurso,admin,none
mkhairnar,mkhairnar,operator,none
mlalwani,mlalwani,manager,none
mpereira,mpereira,admin,bash
mpezhuvelil,mpezhuvelil,operator,none
msmith,msmith,guest,none
naguilar,naguilar,guest,none
nsoni,nsoni,operator,none
oshirsat,oshirsat,operator,none
padajar,padajar,admin,bash
pjaiswal,pjaiswal,admin,bash
prasannak,prasannak,guest,none
qbrereton,qbrereton,operator,none
rgoswami,rgoswami,operator,none
rjoiner,rjoiner,auditor,tmsh
rkumar,rkumar,operator,none
rliu,rliu,guest,none
rmandaokar,rmandaokar,operator,none
rpawar,rpawar,operator,none
sadkhan,sadkhan,operator,none
sgadde,sgadde,operator,none
sgorhe,sgorhe,operator,none
skaran,skaran,admin,bash
skumar,skumar,operator,none
smujumale,smujumale,operator,none
srepaka,srepaka,operator,none
sshukla,sshukla,operator,none
sunilkumar,sunilkumar,guest,none
svc_bigip,svc_bigip,admin,bash
tkhawaja,tkhawaja,admin,none
vahire,vahire,operator,none
vkadam,vkadam,guest,none
vraman,vraman,operator,none
vupadhyay,vupadhyay,operator,none
ychaudhari,ychaudhari,admin,bash
