username, description, role, shell
ASasso,"ASasso",manager,none
NJokanovic,"NJokanovic",manager,none
PKowalczyk,"PKowalczyk",manager,none
RJoseph,"RJoseph",manager,none
SPathak,"SPathak",manager,none
aadmulwar,"aadmulwar",operator,none
aayyappan,"aayyappan",operator,none
abalan,"abalan",operator,none
abhalerao,"abhalerao",operator,none
aborge,"aborge",operator,none
achasen,"achasen",guest,none
achea,"achea",admin,bash
admin,"Admin User",admin,bash
ahall,"ahall",operator,none
akozlovsky,"akozlovsky",operator,none
akulkarni1,"akulkarni1",admin,bash
anbusuvi,"anbusuvi",admin,none
application,"application",guest,none
aprasad,"aprasad",admin,none
aramakrishnaiah,"aramakrishnaiah",operator,none
ashapley,"ashapley",admin,tmsh
awyatt,"awyatt",guest,none
bfelts,"bfelts",admin,bash
bkarthik,"bkarthik",operator,none
cgopaul,"cgopaul",operator,none
dmiller,"dmiller",guest,none
drjones,"drjones",manager,none
dsouza,"dsouza",operator,none
earant,"earant",guest,none
ehagans,"ehagans",manager,none
ehannah,"ehannah",manager,none
emergency,"emergency",operator,none
enatarajan,"enatarajan",operator,none
falleyne,"falleyne",guest,none
gjagadeesan,"gjagadeesan",manager,none
gpande,"gpande",operator,none
gselvamani,"gselvamani",operator,none
gshelar,"gshelar",operator,none
hgawande,"hgawande",operator,none
hionescu,"hionescu",guest,none
hjampani,"hjampani",operator,none
htai,"htai",operator,bpsh
iandev,"iandev",admin,tmsh
izikyamov,"izikyamov",manager,none
jboswell,"jboswell",admin,bash
jcarrion,"jcarrion",manager,none
jdye,"jdye",operator,none
jjoseph,"jjoseph",operator,none
jramos,"jramos",admin,bash
jstrickland,"jstrickland",manager,none
kanthony,"kanthony",admin,none
kapatel,"kapatel",guest,none
kblack,"kblack",operator,none
kghadge,"kghadge",operator,none
kgowda,"kgowda",operator,none
kkotkar,"kkotkar",operator,none
kpinkney,"kpinkney",operator,none
kprasad,"kprasad",operator,none
ksengottyian,"ksengottyian",operator,none
ksoni,"ksoni",operator,none
lmyint,"lmyint",admin,bash
lpickard,"lpickard",admin,bash
mchouikh,"mchouikh",admin,none
mdurso,"mdurso",admin,none
mkhairnar,"mkhairnar",operator,none
mkumar,"mkumar",operator,none
mlalwani,"mlalwani",manager,none
mnazar,"mnazar",admin,none
mpereira,"mpereira",admin,bash
mpezhuvelil,"mpezhuvelil",operator,none
mrajendran,"mrajendran",admin,none
msmith,"msmith",guest,none
nbhawar,"nbhawar",operator,none
ndixit,"ndixit",operator,none
neteng,"neteng",admin,bash
nmehta,"nmehta",operator,none
nperez,"nperez",manager,none
nprasad,"nprasad",manager,none
nsoni,"nsoni",operator,none
oshirsat,"oshirsat",operator,none
padajar,"padajar",admin,bash
pantonysamy,"pantonysamy",manager,none
pjames,"pjames",manager,none
prasannak,"prasannak",operator,none
qbrereton,"qbrereton",operator,none
rajkumar2,"rajkumar2",admin,none
raskew,"raskew",manager,none
rbadgire,"rbadgire",operator,none
rdefreitas,"rdefreitas",admin,bpsh
rejuthomas,"rejuthomas",operator,none
rgoswami,"rgoswami",operator,none
rjoseph,"rjoseph",manager,none
rkumar,"rkumar",operator,none
rkurdukar,"rkurdukar",operator,none
rliu,"rliu",operator,none
rpina,"rpina",operator,none
rthiyagarajan,"rthiyagarajan",manager,none
rvui,"rvui",guest,none
rvui-qa,"rvui-qa",guest,none
sadkhan,"sadkhan",operator,none
schouhan,"schouhan",admin,bash
sgorhe,"sgorhe",operator,none
shemanna,"shemanna",manager,none
sjackson,"sjackson",manager,none
sjavinash,"sjavinash",operator,none
skashyap,"skashyap",operator,none
skhan,"skhan",operator,none
skumar,"skumar",operator,none
skumarsingh,"skumarsingh",operator,none
smangalath,"smangalath",admin,bash
smujumale,"smujumale",operator,none
snara,"snara",manager,none
spadala,"spadala",operator,none
srepaka,"srepaka",operator,none
ssadowski,"ssadowski",operator,none
sshukla,"sshukla",operator,none
sunilkumar,"sunilkumar",operator,none
svenkatachalaiah,"svenkatachalaiah",manager,none
szhu,"szhu",operator,none
tkhawaja,"tkhawaja",admin,none
ttsai,"ttsai",operator,none
twright,"twright",manager,none
tzurunge,"tzurunge",manager,none
udaynair,"udaynair",operator,none
vahire,"vahire",operator,none
vbhosale,"vbhosale",operator,none
vkadam,"vkadam",operator,none
vkrishna,"vkrishna",operator,none
vraman,"vraman",operator,none
vramcharan,"vramcharan",admin,none
vrao,"vrao",operator,none
vsreekumar,"vsreekumar",operator,none
vupadhyay,"vupadhyay",operator,none
wmiller,"wmiller",manager,none
yshende,"yshende",operator,none
