Caption,IP_Address,Category,Community,ObjectSubType,Vendor,City,sha1(City)
LDC-FW03,192.168.100.36,1,notpublic79,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-L10-ACC-SW01,192.168.100.100,1,notpublic79,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-L21-ACC-SW02,192.168.100.102,1,notpublic79,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-L22-ACC-SW02,192.168.100.103,1,notpublic79,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-L24-ACC-SW02,192.168.100.105,1,notpublic79,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-L25-ACC-SW02,192.168.100.106,1,notpublic79,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-L26-ACC-SW02,192.168.100.107,1,notpublic79,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-L27-ACC-SW02,192.168.100.108,1,notpublic79,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-PREPROD-ACC-SW1,192.168.100.132,1,notpublic79,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-PRE-ACC-SW02,192.168.100.133,1,notpublic79,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-PRE-ACC-SW03,192.168.100.134,1,notpublic79,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
SCH-CORP-ACC-SW20,10.50.99.20,1,notpublic79,SNMP,Cisco,SCH,B88F76942B6C3F7331DB01CCA8CA8ADD2C82B237
SCH-CORP-ACC-SW21,10.50.99.21,1,notpublic79,SNMP,Cisco,SCH,B88F76942B6C3F7331DB01CCA8CA8ADD2C82B237
SCH-CORP-ACC-SW22,10.50.99.22,1,notpublic79,SNMP,Cisco,SCH,B88F76942B6C3F7331DB01CCA8CA8ADD2C82B237
SCH-CORP-ACC-SW23,10.50.99.23,1,notpublic79,SNMP,Cisco,SCH,B88F76942B6C3F7331DB01CCA8CA8ADD2C82B237
SCH-Cisco-Stack-Switch-Data-Vlan,10.50.99.60,1,notpublic79,SNMP,Cisco,SCH,B88F76942B6C3F7331DB01CCA8CA8ADD2C82B237
SCH-CORP-ACC-SW24,10.50.99.61,1,notpublic79,SNMP,Cisco,SCH,B88F76942B6C3F7331DB01CCA8CA8ADD2C82B237
SCH-WLC,10.50.99.65,1,notpublic79,SNMP,Cisco,SCH,B88F76942B6C3F7331DB01CCA8CA8ADD2C82B237
SCH-HP-ProCurve-Stack-Switch-Voice-Vlan,10.50.99.201,1,notpublic79,SNMP,HP,SCH,B88F76942B6C3F7331DB01CCA8CA8ADD2C82B237
bcn-access-sw02,10.55.33.20,1,notpublic79,SNMP,Cisco,BCN,0468D9812A96008BDBF328F8CF06795B95DD9755
bcn-wlc01,10.55.33.6,1,notpublic79,SNMP,Cisco,BCN,0468D9812A96008BDBF328F8CF06795B95DD9755
LDC-FW03-Stby,192.168.100.37,1,notpublic79,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
bcn-inetfw01-1,10.55.32.17,1,notpublic79,SNMP,Cisco,BCN,0468D9812A96008BDBF328F8CF06795B95DD9755
L22-Pord-Nortel,10.10.22.253,0,notpublic79,SNMP,"Alteon Networks, Inc.",LDC-Legacy,3CFD6DC5EE7D6E0AEA20116B5A7DFEF67FB86E7B
L25-Pord-Nortel,10.10.25.253,0,notpublic79,SNMP,"Alteon Networks, Inc.",LDC-Legacy,3CFD6DC5EE7D6E0AEA20116B5A7DFEF67FB86E7B
L15-Pre-prod-Nortel,10.10.65.253,0,notpublic79,SNMP,"Alteon Networks, Inc.",LDC-Legacy,3CFD6DC5EE7D6E0AEA20116B5A7DFEF67FB86E7B
bcn-coresw-01,10.55.32.19,1,notpublic79,SNMP,Cisco,BCN,0468D9812A96008BDBF328F8CF06795B95DD9755
LDC-CORE-SW03,192.168.100.98,1,notpublic79,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-CORE-SW04,192.168.100.99,1,notpublic79,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
MEL-INET-23164-40Mbps,203.122.138.1,0,,ICMP,Unknown,MEL,7DD9F08D63915209BD4A0C7866988F53D52682D6
SCH-CORE-SW01,10.50.99.1,1,notpublic79,SNMP,Cisco,SCH,B88F76942B6C3F7331DB01CCA8CA8ADD2C82B237
bcn-access-sw01,10.55.33.22,1,notpublic79,SNMP,Cisco,BCN,0468D9812A96008BDBF328F8CF06795B95DD9755
SCH-CORE-SW02,10.50.99.3,1,notpublic79,SNMP,Cisco,SCH,B88F76942B6C3F7331DB01CCA8CA8ADD2C82B237
LDC-VPN-FW01,10.10.7.3,1,notpublic79,SNMP,Cisco,LDC-Legacy,3CFD6DC5EE7D6E0AEA20116B5A7DFEF67FB86E7B
LDC-MGMT-SW01,192.168.100.113,1,notpublic79,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
LDC-MGMT-SW02,192.168.100.114,1,notpublic79,SNMP,Cisco,LDC,5926CDF80BFB4FA3E08260133B1827C5912FB383
ADC-D-RTR02- DMVPN,10.30.140.69,1,tcatldcqts4r0,SNMP,Cisco,ADC,D976A678B4A7E70AA51F1D90C454B2E3F0616CC4
ADC-C-RTR01,10.30.2.8,1,tcatldcqts4r0,SNMP,Cisco,ADC,D976A678B4A7E70AA51F1D90C454B2E3F0616CC4
ADC-I-RTR01,10.30.140.10,1,tcatldcqts4r0,SNMP,Cisco,ADC,D976A678B4A7E70AA51F1D90C454B2E3F0616CC4
ADC-I-RTR02,10.30.140.11,1,tcatldcqts4r0,SNMP,Cisco,ADC,D976A678B4A7E70AA51F1D90C454B2E3F0616CC4
ADC-FW01-Admin,10.30.140.3,1,tcatldcqts4r0,SNMP,Cisco,ADC,D976A678B4A7E70AA51F1D90C454B2E3F0616CC4
